feature,importance
chikou_relative_position,68042.21344176249
adx,58270.43498006195
momentum_strength,11106.485585929826
price_kumo_distance,6702.512565654353
cloud_thickness,3551.1920939824777
atr_normalized,2461.031081013818
tenkan_slope,2293.927782627172
relative_kumo_strength,1944.6854170449078
broker_hour,1541.637398332823
kijun_slope,1353.4716848893731
tick_volume_spike,1208.9779907060292
spread,1059.9365368106228
candle_compression,1017.0221459793975
session_id,86.75786975119263
regime_flag,67.18776443600655
